family,hypothesis,direction,threshold_band,horizon_label,segment,n_trades,n_symbols,n_days,gross_expectancy_pct,net_expectancy_10bps_pct,profit_factor_10bps,friction_absorption_ratio,weaker_cluster_interpretation,top1_symbol_share,top3_symbol_share,top1_day_share,bootstrap_ci_low_by_symbol,bootstrap_ci_high_by_symbol,bootstrap_ci_low_by_day,bootstrap_ci_high_by_day
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,120m,EARLY,20,15,17,-0.3765853391204068,-0.4765853391204069,0.37885772441274046,3.765853391204068,by_day,0.2566756979884531,0.6067204896727139,0.2566756979884531,-0.9734758544143752,0.15438136450296008,-1.086255858649621,0.2477002332883065
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,120m,LATE,25,19,14,0.253350929049686,0.15335092904968595,1.3182011071355582,2.5335092904968595,by_day,0.27401907375539447,0.5126001549730507,0.3714545200970062,-0.40622058533688304,0.8788638046210057,-0.7213341251956743,1.1099259912073134
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,120m,MIDDLE,18,13,13,-0.19742355403847373,-0.29742355403847376,0.6172043599046365,1.9742355403847371,by_symbol,0.40660989295654426,1.0,0.40660989295654426,-0.9947634050295063,0.45338966874147546,-0.8621393699266013,0.7430528547881317
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,EOD,EARLY,20,15,17,-0.6699358532137932,-0.7699358532137932,0.5116508854854883,6.699358532137932,by_day,0.29371148401290903,0.7157058738607288,0.3126512967417664,-1.9701266580746393,0.8450889541403777,-2.1673882929600503,0.7820052266204112
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,EOD,LATE,25,19,14,0.4966366447358455,0.39663664473584553,1.7532601465855715,4.966366447358455,by_day,0.3656396817758272,0.6346624028031639,0.5032035608626719,-0.4006082214942149,1.4920645827175687,-0.5985266993914001,1.834423834126844
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,EOD,MIDDLE,18,13,13,-0.11320509712288364,-0.21320509712288363,0.7712863211705128,1.1320509712288362,by_day,0.2959510029302288,0.830203809691268,0.2959510029302288,-1.0146914096630835,0.6038634229106313,-1.053551359549299,1.2256238999518747
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,120m,EARLY,8,7,7,-0.7022397626012369,-0.8022397626012369,0.08510523332035266,7.022397626012369,by_symbol,,,,-1.8974505916105202,0.05823843750534936,-1.873197283607432,0.09621113537309883
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,120m,LATE,10,9,9,0.041208176847456604,-0.05879182315254343,0.8942035454920513,0.412081768474566,by_day,0.3934311959809526,0.8361963865296108,0.3934311959809526,-0.814751748448464,0.92365895246852,-0.9324220633799511,0.8364153406989745
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,120m,MIDDLE,7,5,7,-0.22179081706652073,-0.3217908170665208,0.5122669434305281,2.2179081706652073,by_symbol,,,,-1.4233460709203416,0.35112905683640444,-1.0899867962977936,0.6395815147358366
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,EOD,EARLY,8,7,7,-1.2798116872253158,-1.3798116872253154,0.3415475501209615,12.798116872253157,by_symbol,,,,-3.5695451424206213,1.0819657284677338,-3.5623984488396463,1.2366254047429814
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,EOD,LATE,10,9,9,0.37939068728171443,0.27939068728171457,1.6170020592926089,3.793906872817144,by_day,0.5820682243426565,0.9272264398873545,0.5820682243426565,-0.4641127980859939,1.607208526844559,-0.5672615661947981,1.4687973682565216
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,EOD,MIDDLE,7,5,7,0.501986905906571,0.40198690590657105,2.129275702193266,5.01986905906571,by_day,,,,-0.3914396268488644,0.9863376119364242,-0.4715118315186841,1.757857002189478
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,2D,EARLY,344,35,43,0.019449274439433322,-0.08055072556056676,0.9282554642793365,0.1944927443943332,by_day,0.11023259499938491,0.27762719576840195,0.0813507398890904,-0.2644208794885548,0.2645695012076114,-0.5527056858815543,0.5623180590310944
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,2D,LATE,344,35,43,-0.16177060385645034,-0.2617706038564503,0.8556115484835922,1.6177060385645032,by_day,0.08460722297407439,0.24587387612040082,0.0898203158576952,-0.6004297505882604,0.2549105448018235,-0.9950374248131495,0.6485469587633322
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,2D,MIDDLE,344,34,43,-0.4035448525332978,-0.5035448525332977,0.7509929925546078,4.035448525332978,by_day,0.16188760079106373,0.30959135910041446,0.1226515357321281,-1.3015989354263522,0.3105955395145875,-1.4022763659994704,0.46561144374359026
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,3D,EARLY,336,35,42,-0.05887412526085952,-0.1588741252608596,0.8888603919108322,0.5887412526085952,by_day,0.11872018564712712,0.3076468318206211,0.07995532094699428,-0.5006114971908379,0.33086183763654786,-0.749006431407556,0.6132594854344625
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,3D,LATE,336,35,42,-0.8781851473548343,-0.9781851473548342,0.61393998425148,8.781851473548343,by_day,0.11023927195007849,0.25656357300906873,0.08842477614060548,-1.602617711316811,-0.17576078820544253,-1.9248254099222888,0.07295885896723428
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,3D,MIDDLE,328,34,41,-0.8908092183593739,-0.9908092183593737,0.6558788743803308,8.908092183593737,by_symbol,0.1765201882068612,0.35247712545994836,0.10114585000687921,-2.7382170004569586,0.5386835161737645,-2.2636837628578843,0.31417659321068925
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,5D,EARLY,320,35,40,-0.02220540324735971,-0.12220540324735962,0.9357343280296141,0.2220540324735971,by_day,0.12453925409180569,0.29295578420542545,0.08043772625074953,-0.7215902761477274,0.6168349043782937,-1.1246947477692026,0.9782414882010506
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,5D,LATE,320,35,40,-1.026965985329729,-1.1269659853297291,0.6671437430130223,10.26965985329729,by_day,0.098615396590695,0.25724010127069946,0.09155206623249519,-2.0513273991018144,-0.11163991265785445,-2.5445564439504444,0.43130622321321627
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,5D,MIDDLE,296,34,37,-1.4145566000362082,-1.5145566000362078,0.637026577628148,14.14556600036208,by_symbol,0.16215499474255257,0.3728955200942199,0.09267173063706713,-4.582688544226277,0.7696150207378454,-3.4227359303272418,0.5832171171649159
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,2D,EARLY,172,34,43,-0.06320347309628382,-0.16320347309628366,0.8685998185726176,0.6320347309628382,by_day,0.1947203717357383,0.4749130566486441,0.08549796433996289,-0.5976279194819101,0.4602988996341664,-0.7774915123487023,0.5977041815962082
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,2D,LATE,172,31,43,-0.3938777560349367,-0.49387775603493667,0.746554236035819,3.938777560349367,by_day,0.13590353192150184,0.33570439908054545,0.09966140890323028,-1.140546698569315,0.277404233102357,-1.2882308891323095,0.45312820395452524
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,2D,MIDDLE,172,31,43,-0.3114661718282316,-0.41146617182823164,0.8015189444965098,3.1146617182823157,by_symbol,0.19262344172764523,0.4120766833504937,0.1041510528057341,-1.9760622503374776,0.6013082456228619,-1.5458272527562686,0.7209990048630167
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,3D,EARLY,168,34,42,-0.24041433305468132,-0.34041433305468133,0.7882597929102338,2.404143330546813,by_day,0.22156244573228157,0.5068027573842525,0.09263539619203304,-0.9489635359711448,0.41905618167645725,-1.0979709566502445,0.5584176986572698
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,3D,LATE,168,31,42,-1.2875596123261854,-1.3875596123261857,0.4871568895185158,12.875596123261854,by_day,0.14884350290509007,0.39563317047000734,0.15164880354867494,-2.3212734233361263,-0.286402198085077,-2.3837562393897866,-0.25117654407532236
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,3D,MIDDLE,164,31,41,-0.5057868490330389,-0.6057868490330391,0.790840723288664,5.057868490330389,by_symbol,0.20002150667211785,0.3982007229779646,0.10507198805589117,-2.7692656796297936,0.9590361589942784,-2.4169224517303576,1.0782913839436696
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,5D,EARLY,160,34,40,0.04804214874939037,-0.051957851250609546,0.9736492937919932,0.4804214874939037,by_day,0.17620349673412344,0.4552194178776772,0.08329541314100758,-0.995925736799807,0.9414232382223634,-1.2143662397601505,1.249674371248226
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,5D,LATE,160,31,40,-1.2274064991397335,-1.3274064991397334,0.6320219929930123,12.274064991397335,by_day,0.12963644765367036,0.34277807412523714,0.12638574067467434,-2.7338869186241146,0.1912627127641817,-3.194414402540159,0.6533941725062431
FAMILY_B_MULTIDAY,MOMENTUM,LONG,tight,5D,MIDDLE,148,31,37,-1.0812550816953632,-1.1812550816953629,0.7132417835436283,10.812550816953632,by_symbol,0.18145902264268304,0.42502659080114574,0.09243051523810199,-4.64487074911685,1.13496196762772,-3.6868237583929635,1.2017243210248718
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,2D,EARLY,301,35,43,0.23476445621719053,0.1347644562171907,1.1085829461775285,2.3476445621719053,by_day,0.23777165922498142,0.35057592737275645,0.08813259763836996,-0.17988273487962916,0.6410729070286559,-0.4841987692045592,0.9604416483945376
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,2D,LATE,301,34,43,-0.030639930597551306,-0.13063993059755116,0.9294127099273595,0.30639930597551307,by_day,0.11269083546389656,0.27206886485018034,0.10386332727435682,-0.4470356550938285,0.3592680216642139,-0.9464044560665363,0.8882373641612409
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,2D,MIDDLE,301,35,43,0.09820494862929491,-0.0017950513707050246,0.9986917120729021,0.9820494862929491,by_day,0.10051135560018225,0.2317695074980404,0.13442412361065137,-0.3476308584533403,0.4772801128786745,-0.5542714337888788,0.8528965875999198
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,3D,EARLY,294,35,42,0.269195131277185,0.16919513127718494,1.1170838802050025,2.6919513127718497,by_day,0.2360876637589564,0.3682903641791786,0.0850822404287323,-0.33404696226638436,0.8391134446560189,-0.5144423572671832,1.0868924231163966
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,3D,LATE,294,34,42,-0.713862311379293,-0.8138623113792929,0.6886340227345307,7.13862311379293,by_day,0.12302895850323949,0.2948250428176816,0.08198448053247775,-1.5295214332106446,0.08858076551830608,-1.8041521490426016,0.3518216187774084
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,3D,MIDDLE,287,35,41,0.05445984629962093,-0.045540153700379005,0.9729030737739799,0.5445984629962093,by_day,0.08916239640096647,0.2319378399043414,0.09215387870828332,-0.49007677765510754,0.5568913397521085,-0.7304038977614128,0.8523758968312145
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,5D,EARLY,280,35,40,0.22271425881925222,0.1227142588192521,1.0666850743527454,2.227142588192522,by_day,0.20389740256953118,0.3856408379161147,0.09562550567356014,-0.6166937179748196,1.0312583628607062,-0.7997320109899179,1.2579105553724705
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,5D,LATE,280,34,40,-1.1414365939023778,-1.2414365939023777,0.6323913919114683,11.414365939023778,by_day,0.12584620353270645,0.29107400105376413,0.09090511502928063,-2.0068023871185185,-0.26632745069190045,-2.4103006413417347,0.07892830427136377
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,loose,5D,MIDDLE,259,35,37,-0.1289365205685915,-0.22893652056859143,0.9041045818681868,1.289365205685915,by_day,0.09175924482253472,0.22468041040621745,0.06897903565236432,-1.1303892102354867,0.6844955724377499,-1.2667002089862136,0.9342529011281366
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,2D,EARLY,129,29,43,0.06423482514177806,-0.03576517485822188,0.9741042300620629,0.6423482514177805,by_day,0.17545418175309999,0.34297419866397894,0.09316717537507462,-0.46406817225010255,0.6422777921406237,-0.7424196950329442,0.9138659859471522
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,2D,LATE,129,31,43,-0.14336435779765935,-0.24336435779765903,0.8877923929033085,1.4336435779765935,by_day,0.15042321435636874,0.4432828580174998,0.16587178058800495,-0.962842021121844,0.5930298993355666,-1.3267390937871832,1.079244241731491
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,2D,MIDDLE,129,30,43,0.1546535568470805,0.05465355684708045,1.035251683116407,1.5465355684708049,by_day,0.12753926378991853,0.29754811820621485,0.13483196697571084,-0.6040149202697959,0.8115366187465937,-0.749302972711751,1.1794791718505604
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,3D,EARLY,126,26,42,0.03788711014777016,-0.062112889852229715,0.9616472442469773,0.3788711014777016,by_day,0.18075063180067047,0.3776533942208326,0.11015759652876876,-0.6259822267172307,0.765506759177835,-0.8534925390326563,0.9304310942801276
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,3D,LATE,126,31,42,-0.684069318655796,-0.784069318655796,0.7297201717874593,6.84069318655796,by_day,0.17104884498517192,0.43177235362540045,0.12511290084888066,-1.935909948897411,0.5227269774414114,-2.1946396758372835,0.8079732515574117
