family,hypothesis,direction,threshold_band,horizon_label,regime_slice,n_trades,n_symbols,n_days,gross_expectancy_pct,net_expectancy_10bps_pct,profit_factor_10bps,friction_absorption_ratio,weaker_cluster_interpretation,top1_symbol_share,top3_symbol_share,top1_day_share,bootstrap_ci_low_by_symbol,bootstrap_ci_high_by_symbol,bootstrap_ci_low_by_day,bootstrap_ci_high_by_day,insufficient_n_for_bootstrap
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,2026_q3_f6_era,440,35,55,1.066126025032617,0.966126025032617,1.3650465187831133,10.661260250326169,by_day,0.15715004222184348,0.31570481318339705,0.0714326903107118,0.15113332925151352,2.1499053287427063,-0.32020870092945286,2.403728325629012,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,2D,2025_q1_orpb_era,96,29,24,0.3286895718318092,0.22868957183180907,1.1927288392672588,3.2868957183180916,by_day,0.16892657630343805,0.4192265106474749,0.18773582378912543,-0.17811372565952258,0.8903455965077627,-0.6781087604732121,1.3718335124506091,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,2D,2025_q3_fprc_era,92,28,23,-0.16063744642914707,-0.26063744642914705,0.7676552578702962,1.6063744642914706,by_symbol,0.21048044463423882,0.43586454633372435,0.12360022180419056,-0.8644417974207316,0.737298215021467,-0.8312667238086531,0.44346973636095843,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,2D,2025_q4_task46_56_era,96,24,24,-0.3272974340914028,-0.4272974340914028,0.7311216968062395,3.2729743409140277,by_day,0.12551406597659912,0.3520143276415761,0.191896257789826,-0.8666501624804723,0.35825122586274893,-1.3333970509470003,0.6816165476087076,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,2D,2026_q3_f6_era,232,33,58,0.6329101414371908,0.5329101414371908,1.3090674432308917,6.329101414371908,by_day,0.22382668734056088,0.37336155377802105,0.16484673717535267,-0.1692285286231064,1.8243886384862267,-0.26435964577357296,1.5909101610998024,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,3D,2025_q1_orpb_era,92,28,23,0.9801285751898342,0.8801285751898341,1.7663716955572069,9.801285751898341,by_day,0.195794568396208,0.4635802580301534,0.14826598742980385,0.13459872246731938,2.0082669931083457,-0.21479453958732958,2.1707472845905897,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,3D,2025_q3_fprc_era,88,27,22,-0.494298554480271,-0.594298554480271,0.6152713688118795,4.94298554480271,by_symbol,0.191464251825159,0.4456522528966114,0.11909700229681676,-1.48897734998995,0.6427453505231366,-1.3997944371031745,0.29603437919554226,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,3D,2025_q4_task46_56_era,92,24,23,0.3703037537645139,0.27030375376451427,1.127563192062687,3.7030375376451388,by_day,0.4140552653925994,0.6320391193432676,0.4425148573073886,-1.271827710271899,3.358108227659169,-1.609958674202684,3.0381190881096263,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,3D,2026_q3_f6_era,228,33,57,1.135557739455561,1.035557739455561,1.5622535283994574,11.355577394555608,by_day,0.18394423628527368,0.37537810458126136,0.13207073428483335,0.17265620987322713,2.4395130551406594,0.11488680579103618,2.2291588506349718,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,5D,2025_q1_orpb_era,84,28,21,1.2265648108011205,1.1265648108011204,1.7435012954437124,12.265648108011204,by_day,0.21733324295005974,0.4590097289361902,0.18410182512008752,-0.14010714406947194,2.8875752431585857,-0.519594922291466,2.9617141023195606,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,5D,2025_q3_fprc_era,80,27,20,-1.448404590804806,-1.548404590804806,0.3918698787454083,14.48404590804806,by_day,0.34808916761745684,0.6093077346355514,0.18964043227490865,-2.710974175075845,0.20979601151161317,-2.7128038158513386,-0.2733843859642824,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,5D,2025_q4_task46_56_era,84,23,21,1.651398666168434,1.5513986661684347,1.6295139696870136,16.51398666168434,by_symbol,0.528077944490012,0.690957185013353,0.31592554369890835,-1.6489080397472042,7.6155171783999664,-1.5547242031939932,5.522884672037255,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,tight,5D,2026_q3_f6_era,220,33,55,1.0129431061468663,0.9129431061468662,1.3273195325406821,10.129431061468663,by_day,0.16282431915975903,0.3962001766131197,0.10795085059476109,-0.01402362628106684,2.1041099128196645,-0.6596944646598184,2.6706400179792364,
