symbol,trading_day,mfe_pct,mae_pct,gross_return_pct
TXN,2025-03-04,1.8769364709497458,0.4839576985122747,-0.1766829692981327
TXN,2025-03-10,0.24660585490029877,7.265591854051754,-1.05536699193891
TXN,2025-03-13,0.011383039271491311,2.0546385885031224,-1.2009106431417105
VRTX,2025-03-05,1.0100186512021447,0.7959884627536458,0.2170877625691771
VRTX,2025-03-10,0.9273725113167479,4.216240035252175,0.1786844529904313
VRTX,2025-03-12,1.4047696831100938,0.04900359359686563,1.153626265926175
VRTX,2025-03-13,0.8750820389411462,0.9526461287563931,0.023865873789305
AAPL,2025-07-01,0.5148008225335859,1.1094639185117983,-0.5977715078188512
AAPL,2025-07-02,0.3800073343018217,0.9115085376740794,0.1207614475913261
ADBE,2025-07-01,1.209105674289102,0.39959782412539935,1.064734847508313
ADBE,2025-07-08,0.47203008019026627,1.1512409014077478,-0.6795486724007815
ADI,2025-07-08,0.6194151096669398,0.7148659626320029,-0.4305442729488231
AMAT,2025-07-02,1.8621278412122557,0.016006829580621672,1.39259417351404
AMAT,2025-07-08,0.5892902895208842,0.35869843709967564,-0.0819882141942078
AMD,2025-07-02,1.0628298749186602,0.30923288265491705,0.1446750054225956
AMD,2025-07-08,0.2894447791830406,1.0632915406592107,-0.66191754283292
AMD,2025-07-11,2.283191207809052,0.1385749883595671,1.6169626333272438
AVGO,2025-07-02,0.927643784786642,0.49350649350648756,0.1484230055658542
BKNG,2025-07-07,0.6386907100004993,0.42844535655761135,0.5362510187731079
CMCSA,2025-07-01,1.256732495511665,0.12429222483082919,0.3452561800856235
CMCSA,2025-07-08,0.7525083612040022,0.30657748049052236,0.3205128205128062
CSCO,2025-07-03,0.8598887202832763,0.2601344027747563,0.8598887202832763
GILD,2025-07-10,0.4723169771713516,0.6297559695617938,0.1574389923904546
GOOGL,2025-07-09,0.8770191540077218,2.1803749271037978,-0.0005661840890974
HON,2025-07-01,1.0918324164197986,0.0,1.0283537875581794
INTC,2025-07-01,2.3877957108114205,0.02210921954454568,1.039133318593867
INTC,2025-07-08,1.6887558785805883,1.1543394613082494,0.8550662676357388
INTU,2025-07-07,0.0,0.7516449863440744,-0.3668579899345895
