date,cash,open_value,equity,peak,drawdown_usd,drawdown_pct
2025-09-24,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-09-25,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-09-26,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-09-29,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-09-30,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-10-01,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-10-02,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-10-03,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-10-06,296176.72,0.0,296176.72,302743.01,-6566.29,-2.1689
2025-10-07,286176.72,10000.0,296176.72,302743.01,-6566.29,-2.1689
2025-10-08,286176.72,10042.93,296219.65,302743.01,-6523.36,-2.1548
2025-10-09,286176.72,10054.77,296231.5,302743.01,-6511.51,-2.1508
2025-10-10,286176.72,10267.95,296444.67,302743.01,-6298.34,-2.0804
2025-10-13,286176.72,10352.33,296529.05,302743.01,-6213.95,-2.0526
2025-10-14,286176.72,10417.47,296594.19,302743.01,-6148.82,-2.031
2025-10-15,286176.72,10503.33,296680.05,302743.01,-6062.96,-2.0027
2025-10-16,286176.72,10617.32,296794.04,302743.01,-5948.97,-1.965
2025-10-17,286176.72,10689.86,296866.58,302743.01,-5876.43,-1.9411
2025-10-20,286176.72,10789.05,296965.77,302743.01,-5777.24,-1.9083
2025-10-21,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-10-22,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-10-23,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-10-24,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-10-27,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-10-28,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-10-29,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-10-30,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-10-31,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-11-03,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-11-04,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-11-05,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-11-06,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-11-07,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-11-10,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-11-11,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-11-12,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-11-13,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-11-14,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-11-17,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-11-18,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-11-19,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-11-20,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-11-21,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-11-24,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-11-25,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
